Feature1,Feature2,Feature3,Feature4
1.9728365252117428,4.836271048087513,-10.71103213564625,9.780606789423937
6.102608367755953,-5.3614137810319304,-7.842412224632117,-6.148549883152168
-2.2282057553177177,8.391586608377727,4.4317565858708265,1.4801687492818991
-4.103625281847117,8.414911105244549,4.645122535946284,2.020150277705474
0.7419958361932812,5.033908884201054,-8.93810893612529,9.299021179460503
-7.865353237486814,-6.376063077758102,-9.36858537500845,6.530650083236359
-8.101755000043216,-6.1671111631035584,-9.078653154794145,6.948702107949106
-6.765399542489231,-6.729807831814069,-9.201939968849866,7.266577291777636
3.706227926322044,3.7025672930519686,-8.509629280652655,9.359688573739179
7.187148895058069,-4.680710449124675,-6.728453385400873,-7.17111947027033
-3.7255735242105024,1.4961747252118984,-4.064331920156922,-3.4975418765082535
-7.491144994143219,-8.286770690124168,-9.761561002746914,5.9718383098823695
-6.247219452095749,-5.907555143649216,-8.216517794418813,5.753298195608247
-4.569230823936669,-1.3355042642116997,-0.8498970276327045,-2.8017586508762036
-4.075287936375886,1.166468709095223,-1.147902998919996,-4.927386527777981
-1.9898511088115778,10.5470250412009,4.531118687771244,2.3748814060396732
-7.670101646596582,-6.4086412361399505,-6.956303260160976,8.66894296165368
-0.38704142604011693,10.046751388749469,3.120508870274088,1.4889356110744807
-6.770232396546377,-6.154342969377255,-8.357318524899297,7.547406939777835
1.9967461638727304,5.334180575180273,-9.044709959489518,9.02758271115378
-2.522689840744917,0.2450821180458045,-1.0724059978778282,-3.9150953572679406
1.3833384871746734,2.8383617625134105,-7.946294953947582,10.40801413258252
-5.108791972565726,1.4142828062547588,-0.3605173091147069,-4.846037405115807
2.1009354251802663,2.1632508713888012,-8.67198243938147,9.744685519137878
6.068329366203713,-5.164639382013867,-4.693596151506581,-5.937238273108343
-4.4773231673875475,0.2859067589002295,-3.044537819378635,-4.98128726253535
-1.0435488541311961,8.788509827711787,4.707407040916025,0.5484214977272752
6.782393720790718,-5.905687622815021,-5.655391979169397,-5.375207486136739
6.160003394222161,-6.872835219723488,-6.222614408946784,-8.100349168494175
7.562437442241685,-6.556396737114822,-4.870812086898466,-6.6030334039738925
6.882638727799184,-7.309113432638104,-6.032620423643531,-5.498380841322399
-2.7617657744459105,7.766502946233472,6.272290140159736,0.5430283059800993
1.976714218508678,4.404791005243601,-9.829546171940281,9.750252439754183
3.4988405845900714,5.54154291006836,-10.213872815593481,9.794000576677295
-7.642886347693787,-8.684991693940466,-10.465870194519173,7.371607862160086
8.662240063535059,-5.616682455351739,-6.728822207170096,-6.147229497066415
-5.094194931969048,1.682808021106321,-1.8257169244560782,-3.974257540166322
-4.91548646541482,-0.18261633788009424,-0.8471917774987702,-3.995835414099563
4.42571582010245,4.103832758887323,-9.387211067368984,10.448851439247498
-3.2182007362985097,0.16130914288874731,-0.18797498957104386,-3.8057750038410676
-3.8909356841364873,1.9073491880601865,-1.4407410184034004,-3.7230453997894273
5.5565400513358565,-6.069626236129279,-5.150402955878804,-6.190192889291419
-6.59965856483145,-8.005598640574323,-6.392575777019184,7.45274409747393
-5.941343385175273,-7.39615432149332,-8.742206979695027,6.861247626793661
-9.530596999544283,-5.788602741353484,-7.592242564138381,5.250132683090554
-6.303070228095503,-6.56885943873241,-5.759446948180773,8.443097826933279
7.085412620166103,-4.849282945348282,-8.726433091399826,-7.341640507641261
1.3341498896864519,6.413887361265218,-8.606544627092356,9.073365659731264
-4.388994487880161,0.48067636176647816,-0.8148153791539856,-4.1689949262282235
6.70586594090552,-5.48462550757122,-4.835032229445456,-5.8240740466417
-4.870277720158598,0.9187276982382183,0.7014252920854598,-5.242950110293434
-2.5862993324668544,9.355438103014965,4.916569635558121,2.8003529329767556
-6.9191823450079255,-6.198608895903322,-8.81000938050555,7.353279054994449
-2.302934512553821,1.3919679485102892,-1.6296302750635174,-5.066609421454449
-6.9919552408421,-7.10107919280917,-8.224161056592585,8.081030625546008
7.162452922578153,-6.285918626096389,-7.533417491568276,-9.204172016212972
2.0026624359374945,4.713941510338056,-9.364395980019289,10.76233747321373
-3.547867827407905,2.3333123094398798,-1.5845656095295373,-4.524733992157358
5.0863069591218935,-6.282270463780772,-5.56923597623616,-7.5861992261005735
5.975362191764567,-5.4742236242106745,-7.198847709117745,-4.186760675157935
-5.006121571024444,0.08431434469017246,-2.466804295643621,-4.390338226327897
5.862863355500486,-7.0844507399922545,-8.199706028961284,-5.82391847601878
-7.007544782632037,-7.835650033876372,-10.444774076893584,7.526986551365926
-6.949792902609917,-8.541070526791938,-8.408709537503425,7.531210602661814
-3.282022837590322,8.777467521458313,4.154515288398998,2.0550438233270545
4.097561107489441,3.472263737831341,-7.852346310918701,9.596107826702534
