Real_Label,Predicted_Score,Predicted_label
0,0.1560978742537064,0
0,0.43358519222249436,0
1,0.9576552271848503,1
0,0.2819282730541803,0
0,0.3361312769416534,0
0,0.4547790416068607,0
1,0.8168481509111413,1
1,0.25147685562443167,0
0,0.13907518835031354,0
1,0.9132276219941945,1
0,0.25057399562381755,0
1,0.7944509970485183,1
0,0.10740745892154036,0
0,0.2414837893719313,0
0,0.33911018517942004,0
1,0.4047367975607788,0
0,0.3068143360490279,0
0,0.19091401643550215,0
1,0.9532179642106547,1
1,0.8086152975898757,1
0,0.13946188413152832,0
0,0.40207052268472443,0
0,0.3974982863258285,0
1,0.8467600130553926,1
0,0.46141527421503864,0
1,0.185399161011318,0
0,0.19391387361125226,0
1,0.1101928987741006,0
0,0.5463419705253489,1
1,0.8331229513873347,1
1,0.4760890790619693,0
0,0.22345195921409458,0
0,0.1421142860298815,0
1,0.43077970102531193,0
0,0.520016527379333,1
0,0.23695592467702772,0
1,0.9788035414853853,1
0,0.2769051393412248,0
1,0.34564792112154175,0
0,0.187342042988921,0
0,0.19362501215268546,0
0,0.4276804574118956,0
1,0.7448278484137371,1
0,0.5136447458271992,1
1,0.7738317732260003,1
0,0.07426518187394582,0
0,0.2799593106790445,0
1,0.7868457509068258,1
0,0.311835447727549,0
0,0.1860935891383117,0
0,0.36577733450071376,0
0,0.2548381284728437,0
0,0.2278065090506311,0
1,0.833894358224294,1
0,0.11392801738675849,0
1,0.2174532850546705,0
0,0.3105017811355963,0
0,0.17609415947751264,0
0,0.1810456826598876,0
0,0.35749388640282986,0
0,0.3385905290039869,0
1,0.04650384540588507,0
0,0.10951909948348129,0
0,0.10515661529621384,0
0,0.29496654902304054,0
0,0.0956257661152577,0
1,0.8819959483431001,1
0,0.14402773754315779,0
0,0.32798279733958857,0
1,0.38459689395688323,0
1,0.51107251976895,1
0,0.25944434518540893,0
0,0.4428471773158157,0
1,0.8191859234396209,1
1,0.7540799923330566,1
0,0.37087636786205813,0
0,0.4694127871758943,0
1,0.6426106588582834,1
0,0.28977611523453567,0
0,0.48187061278984666,0
0,0.2911293106479762,0
1,0.45796354653272336,0
0,0.3712516864613944,0
0,0.14253234812706972,0
1,0.494950845120954,0
0,0.3957030709755174,0
0,0.2554280441080499,0
1,0.5873484806610315,1
1,0.5872959164967245,1
1,0.20388612538222492,0
1,0.7405324121359448,1
0,0.18620262467319643,0
0,0.28924853146776264,0
1,0.6308213385783636,1
0,0.4908795403259251,0
0,0.26455392642783415,0
0,0.1535033855734108,0
0,0.32329772066838147,0
0,0.4029792921402157,0
0,0.33251887335079194,0
1,0.3161560731409957,0
1,0.39159295990141774,0
1,0.2259113954574325,0
1,0.505741962251555,1
1,0.22776677577551055,0
0,0.1682649167626694,0
0,0.23458005914667002,0
1,0.3507268563386009,0
0,0.12226560213318334,0
1,0.8456743818189617,1
0,0.4103796393877906,0
0,0.178996957539209,0
1,0.22602734160429974,0
1,0.8938957018074641,1
0,0.29047871505210954,0
0,0.3464767657748798,0
0,0.12203110773079054,0
1,0.5732322271066432,1
0,0.28371408378491075,0
0,0.3718655686099705,0
1,0.8453257001583631,1
